id,observed_on,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
17687188,2018-10-19,2018-10-19 19:38:39 UTC,10813,nysforestqueen,needs_id,32.2479966667,-110.9083633333,,false,Xylocopa,Large Carpenter Bees,Insecta,51111,Hymenoptera,Apidae,Xylocopa,
18655131,2018-11-26,2018-11-26 18:00:49 UTC,1151300,mrea,needs_id,32.2472722,-110.909598,,false,Diptera,Flies,Insecta,47822,Diptera,,,
19322074,2017-03-26,2017-03-26 23:30:00 UTC,1376373,tomdudones,research,32.248523,-110.908785,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
19812547,2019-01-21,2019-01-21 20:52:00 UTC,770371,janeyd,research,32.2481764945,-110.9080908925,,false,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
19812549,2019-01-21,2019-01-21 21:24:00 UTC,770371,janeyd,research,32.2480064654,-110.9079889686,,false,Libytheana carinenta,American Snout,Insecta,58561,Lepidoptera,Nymphalidae,Libytheana,Libytheana carinenta
19812550,2019-01-21,2019-01-21 21:29:00 UTC,770371,janeyd,research,32.2481730003,-110.9081257612,,false,Abaeis nicippe,Sleepy Orange,Insecta,81727,Lepidoptera,Pieridae,Abaeis,Abaeis nicippe
20785776,2018-08-03,2018-08-04 00:56:00 UTC,416973,stevedunbar,research,32.248523,-110.908785,,false,Libellula saturata,Flame Skimmer,Insecta,47817,Odonata,Libellulidae,Libellula,Libellula saturata
20862534,2019-03-01,2019-03-01 22:21:24 UTC,237362,desertdutchman,research,32.2482516667,-110.9083233333,,false,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
20862551,2019-03-01,2019-03-01 22:24:58 UTC,237362,desertdutchman,research,32.2481816667,-110.9086066667,,false,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
21712813,2019-03-25,2019-03-25 18:43:00 UTC,44738,carianne,research,32.2482579722,-110.9093069722,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
25948270,2019-05-11,2019-05-11 23:20:00 UTC,306180,tomdriscoll,research,32.2485317296,-110.9087848663,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
26676460,2019-06-09,2019-06-09 14:42:02 UTC,1128542,amrahne,needs_id,32.2482741992,-110.9094659588,,false,Sarcophaga,Common Flesh Flies,Insecta,120489,Diptera,Sarcophagidae,Sarcophaga,
27266361,2019-06-08,2019-06-08 19:05:51 UTC,1128542,amrahne,research,32.2481502124,-110.9092912281,,false,Pieris rapae,Cabbage White,Insecta,55626,Lepidoptera,Pieridae,Pieris,Pieris rapae
27566669,2019-06-08,2019-06-08 19:28:01 UTC,1128542,amrahne,research,32.2484698974,-110.9090746691,,false,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
29244988,2019-07-21,2019-07-21 14:12:48 UTC,550710,robbieburger,research,32.2483145306,-110.909040263,,false,Thasus neocalifornicus,Giant Mesquite Bug,Insecta,207600,Hemiptera,Coreidae,Thasus,Thasus neocalifornicus
29550163,2019-07-25,2019-07-24 23:45:00 UTC,1790947,miguelenriquez989,research,32.248400247,-110.9088888618,,false,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
