Year,Month,Day,Latitude,Longitude,Order,Family,Genus,Species
2013,11,27,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,27,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,27,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,29,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,29,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,29,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,29,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,12,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
